"VOTED2014","Young.Hispanic.Status","ID.Number","Voter.Status","Voted.11.2012","Voted.Gen..Elec..09.2010","Voted.Gen..Elec..07.2008","Number.General.Elections","Hispanic.Surname","Young.Voter","Eligible.2012","Eligible.2010","Eligible.2008","Young.in.2012","Young.in.2010","Young.in.2008","Voter.Category","type","ID","control","post","flyer","LOWPROP","city","zip","U_S__CONGRESS","byear"
"112706",0,"non_y_non_h",3152720,"A",0,0,0,0,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3152720,0,1,0,1,"GARLAND",75040,32,1983
"112734",0,"non_y_non_h",3152945,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3152945,0,1,0,1,"MESQUITE",75181,5,1963
"112755",0,"non_y_non_h",3153045,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3153045,0,1,0,1,"MESQUITE",75150,5,1965
"112764",0,"non_y_h",3153105,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3153105,0,0,1,1,"BALCH SPRINGS",75180,5,1964
"112771",0,"non_y_h",3153215,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3153215,0,0,1,1,"GRAND PRAIRIE",75051,33,1951
"112779",0,"non_y_h",3153267,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3153267,0,0,1,1,"GRAND PRAIRIE",75052,30,1976
"112802",0,"non_y_non_h",3153461,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3153461,0,1,0,1,"RICHARDSON",75080,32,1976
"112816",0,"non_y_non_h",3153562,"A",0,0,0,0,0,0,1,1,1,0,1,1,"Old Not Hispanic","Non_y_non_h_POST",3153562,0,1,0,1,"DUNCANVILLE",75116,30,1981
"112835",0,"non_y_h",3153727,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3153727,0,0,1,1,"GARLAND",75040,32,1983
"112836",0,"non_y_non_h",3153748,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3153748,0,1,0,1,"GARLAND",75040,32,1972
"112867",0,"non_y_h",3153939,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3153939,0,0,1,1,"DALLAS",75211,33,1956
"112915",0,"non_y_h",3154263,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3154263,0,0,1,1,"DALLAS",75217,30,1967
"112933",0,"non_y_h",3154420,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3154420,0,0,1,1,"DALLAS",75215,30,1983
"112965",0,"non_y_h",3154601,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3154601,0,0,1,1,"MESQUITE",75149,5,1983
"112974",0,"non_y_h",3154620,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3154620,0,0,1,1,"DALLAS",75217,30,1983
"112980",0,"non_y_h",3154655,"A",0,0,1,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3154655,0,0,1,1,"DALLAS",75217,30,1983
"113004",0,"non_y_h",3154851,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3154851,0,0,1,1,"GRAND PRAIRIE",75051,30,1947
"113059",0,"non_y_h",3155348,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3155348,0,0,1,1,"GARLAND",75041,32,1969
"113068",0,"non_y_h",3155378,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3155378,0,1,0,1,"DALLAS",75204,32,1984
"113073",0,"non_y_h",3155411,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3155411,0,0,1,1,"DALLAS",75217,30,1948
"113087",0,"non_y_non_h",3155482,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3155482,0,1,0,1,"GRAND PRAIRIE",75052,30,1975
"113100",0,"non_y_non_h",3155535,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3155535,0,1,0,1,"MESQUITE",75149,5,1938
"113156",0,"non_y_h",3155881,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3155881,0,0,1,1,"DALLAS",75211,33,1963
"113170",0,"non_y_non_h",3156035,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3156035,0,1,0,1,"LANCASTER",75146,30,1972
"113224",0,"non_y_non_h",3156356,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3156356,0,1,0,1,"DALLAS",75208,33,1947
"113244",0,"non_y_h",3156510,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3156510,0,0,1,1,"DALLAS",75228,5,1983
"113247",0,"non_y_non_h",3156536,"A",0,0,1,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3156536,0,1,0,1,"DALLAS",75240,24,1983
"113249",0,"non_y_h",3156553,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3156553,0,0,1,1,"DALLAS",75208,33,1983
"113253",0,"non_y_h",3156563,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3156563,0,0,1,1,"DALLAS",75208,33,1983
"113353",0,"non_y_h",3157178,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157178,0,0,1,1,"DALLAS",75211,33,1970
"113366",0,"non_y_h",3157238,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157238,0,0,1,1,"DALLAS",75227,30,1972
"113375",0,"non_y_h",3157297,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3157297,0,0,1,1,"DALLAS",75211,33,1983
"113401",0,"non_y_h",3157450,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157450,0,0,1,1,"GRAND PRAIRIE",75051,30,1959
"113406",0,"non_y_h",3157472,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157472,0,0,1,1,"DESOTO",75115,30,1942
"113422",0,"non_y_h",3157570,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157570,0,0,1,1,"DALLAS",75212,33,1953
"113428",0,"non_y_h",3157627,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157627,0,0,1,1,"DALLAS",75217,30,1957
"113439",0,"non_y_h",3157706,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157706,0,0,1,1,"DALLAS",75227,30,1953
"113479",0,"non_y_non_h",3157970,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3157970,0,1,0,1,"CARROLLTON",75006,24,1965
"113481",1,"non_y_h",3157997,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3157997,0,0,1,1,"DALLAS",75217,30,1942
"113489",0,"non_y_h",3158028,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3158028,0,0,1,1,"DALLAS",75227,30,1983
"113513",0,"non_y_h",3158217,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3158217,0,0,1,1,"DALLAS",75228,30,1956
"113526",0,"non_y_h",3158261,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3158261,0,0,1,1,"DALLAS",75217,30,1968
"113541",0,"non_y_non_h",3158372,"A",0,0,1,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3158372,0,1,0,1,"GARLAND",75041,32,1983
"113547",1,"non_y_h",3158416,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3158416,0,0,1,1,"DALLAS",75235,33,1968
"113549",0,"non_y_h",3158425,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3158425,0,0,1,1,"DALLAS",75206,32,1968
"113553",0,"non_y_h",3158445,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3158445,0,0,1,1,"DALLAS",75227,30,1969
"113561",0,"non_y_non_h",3158490,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3158490,0,1,0,1,"DALLAS",75217,30,1953
"113610",0,"non_y_non_h",3158702,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3158702,0,1,0,1,"DALLAS",75214,32,1963
"113636",0,"non_y_h",3158885,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3158885,0,0,1,1,"DALLAS",75211,33,1982
"113676",0,"non_y_h",3159194,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3159194,0,0,1,1,"GARLAND",75041,32,1945
"113701",0,"non_y_non_h",3159388,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3159388,0,1,0,1,"DALLAS",75238,5,1968
"113750",0,"non_y_h",3159766,"A",0,0,0,0,1,0,1,1,1,0,1,1,"Old Hispanic","Non_y_h_FLYER",3159766,0,0,1,1,"DALLAS",75224,33,1981
"113784",0,"non_y_non_h",3160089,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3160089,0,1,0,1,"GARLAND",75043,32,1962
"113806",0,"non_y_h",3160314,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3160314,0,0,1,1,"DALLAS",75229,24,1959
"113814",0,"non_y_h",3160348,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3160348,0,0,1,1,"DALLAS",75208,33,1982
"113867",0,"non_y_h",3160706,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3160706,0,0,1,1,"DALLAS",75227,30,1966
"113935",0,"non_y_non_h",3161309,"A",0,0,1,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3161309,0,1,0,1,"DALLAS",75216,30,1983
"113952",0,"non_y_h",3161508,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3161508,0,0,1,1,"DALLAS",75230,32,1961
"114045",0,"non_y_h",3162240,"A",0,0,0,0,1,0,1,1,1,0,1,1,"Old Hispanic","Non_y_h_FLYER",3162240,0,0,1,1,"DALLAS",75229,33,1981
"114072",1,"non_y_non_h",3162462,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3162462,0,1,0,1,"LANCASTER",75134,30,1971
"114073",0,"non_y_non_h",3162466,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3162466,0,1,0,1,"RICHARDSON",75080,32,1961
"114091",0,"non_y_non_h",3162672,"A",0,0,0,0,0,0,1,1,1,0,0,1,"Old Not Hispanic","Non_y_non_h_POST",3162672,0,1,0,1,"DALLAS",75215,30,1978
"114096",1,"non_y_h",3162734,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3162734,0,0,1,1,"DUNCANVILLE",75116,30,1973
"114102",0,"non_y_non_h",3162775,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3162775,0,1,0,1,"GARLAND",75040,32,1929
"114158",0,"non_y_non_h",3163195,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3163195,0,1,0,1,"DALLAS",75217,30,1947
"114161",0,"non_y_h",3163201,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3163201,0,1,0,1,"GRAND PRAIRIE",75050,33,1984
"114170",0,"non_y_h",3163306,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3163306,0,0,1,1,"DALLAS",75211,33,1954
"114188",0,"non_y_h",3163420,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3163420,0,0,1,1,"IRVING",75060,33,1975
"114221",0,"non_y_h",3163776,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3163776,0,0,1,1,"GRAND PRAIRIE",75050,33,1977
"114241",0,"non_y_h",3163871,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3163871,0,0,1,1,"DALLAS",75228,5,1964
"114250",0,"non_y_h",3163952,"A",0,0,1,1,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3163952,0,1,0,1,"DALLAS",75218,5,1984
"114315",0,"non_y_h",3164436,"A",0,0,1,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3164436,0,0,1,1,"CEDAR HILL",75104,30,1983
"114337",0,"non_y_h",3164589,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3164589,0,0,1,1,"DALLAS",75208,33,1927
"114361",0,"non_y_h",3164746,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3164746,0,0,1,1,"DUNCANVILLE",75116,30,1961
"114381",0,"non_y_non_h",3164912,"A",1,0,0,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3164912,0,1,0,1,"DALLAS",75217,30,1983
"114399",0,"non_y_h",3165121,"A",1,0,0,1,1,0,1,1,1,0,1,1,"Old Hispanic","Non_y_h_FLYER",3165121,0,0,1,1,"DALLAS",75208,33,1980
"114401",0,"non_y_h",3165142,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3165142,0,1,0,1,"DALLAS",75217,30,1984
"114415",0,"non_y_non_h",3165262,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3165262,0,1,0,1,"DALLAS",75230,24,1920
"114420",0,"non_y_h",3165293,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3165293,0,1,0,1,"DALLAS",75227,30,1984
"114461",0,"non_y_non_h",3165600,"A",0,0,1,1,0,0,1,1,1,0,0,1,"Old Not Hispanic","Non_y_non_h_POST",3165600,0,1,0,1,"DALLAS",75236,30,1979
"114463",0,"non_y_h",3165611,"A",0,0,0,0,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3165611,0,0,1,1,"GARLAND",75043,32,1978
"114464",0,"non_y_h",3165630,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3165630,0,0,1,1,"DALLAS",75249,30,1955
"114472",0,"non_y_h",3165683,"A",1,0,0,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3165683,0,0,1,1,"CEDAR HILL",75104,30,1982
"114485",0,"non_y_non_h",3165760,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3165760,0,1,0,1,"GARLAND",75044,32,1953
"114489",0,"non_y_h",3165786,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3165786,0,0,1,1,"DALLAS",75208,33,1971
"114530",0,"non_y_h",3166078,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3166078,0,0,1,1,"DALLAS",75211,33,1956
"114548",0,"non_y_h",3166216,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3166216,0,0,1,1,"GRAND PRAIRIE",75052,30,1960
"114561",0,"non_y_non_h",3166297,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3166297,0,1,0,1,"DESOTO",75115,30,1952
"114599",0,"non_y_h",3166605,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3166605,0,0,1,1,"DALLAS",75219,30,1975
"114613",0,"non_y_h",3166694,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3166694,0,0,1,1,"DALLAS",75212,33,1982
"114621",1,"non_y_non_h",3166730,"A",1,0,0,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3166730,0,1,0,1,"DALLAS",75233,30,1983
"114626",0,"non_y_h",3166751,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3166751,0,0,1,1,"GARLAND",75043,5,1960
"114630",0,"non_y_h",3166790,"A",0,0,0,0,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3166790,0,0,1,1,"DALLAS",75227,30,1978
"114666",0,"non_y_h",3167098,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3167098,0,0,1,1,"DALLAS",75212,33,1983
"114667",1,"non_y_non_h",3167106,"A",1,0,0,1,0,0,1,1,1,0,0,1,"Old Not Hispanic","Non_y_non_h_POST",3167106,0,1,0,1,"DESOTO",75115,30,1978
"114739",0,"non_y_h",3167559,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3167559,0,1,0,1,"BALCH SPRINGS",75180,5,1984
"114740",0,"non_y_non_h",3167560,"A",1,0,0,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3167560,0,1,0,1,"DALLAS",75217,30,1983
"114745",0,"non_y_h",3167582,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3167582,0,0,1,1,"DALLAS",75253,5,1929
"114748",0,"non_y_h",3167609,"A",0,0,0,0,1,0,1,1,1,0,1,1,"Old Hispanic","Non_y_h_FLYER",3167609,0,0,1,1,"GRAND PRAIRIE",75052,30,1981
"114808",0,"non_y_h",3168071,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3168071,0,0,1,1,"GRAND PRAIRIE",75052,30,1964
"114813",0,"non_y_h",3168096,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3168096,0,0,1,1,"GARLAND",75041,32,1969
"114846",0,"non_y_non_h",3168363,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3168363,0,1,0,1,"IRVING",75060,33,1953
"114851",0,"non_y_h",3168401,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3168401,0,1,0,1,"MESQUITE",75181,5,1984
"114862",0,"non_y_h",3168456,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3168456,0,0,1,1,"DALLAS",75223,32,1947
"114895",0,"non_y_non_h",3168811,"A",0,0,0,0,0,0,1,1,1,1,1,1,"Old Not Hispanic","Y_non_h_POST",3168811,0,1,0,1,"BALCH SPRINGS",75180,5,1984
"114903",0,"non_y_h",3168864,"A",1,0,0,1,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3168864,0,0,1,1,"IRVING",75060,33,1978
"114925",0,"non_y_non_h",3169023,"A",0,0,1,1,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3169023,0,1,0,1,"DALLAS",75208,33,1983
"114961",0,"non_y_h",3169319,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3169319,0,0,1,1,"DALLAS",75224,33,1931
"114962",0,"non_y_non_h",3169323,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3169323,0,1,0,1,"IRVING",75063,24,1960
"114987",0,"non_y_h",3169489,"A",0,1,0,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3169489,0,0,1,1,"DALLAS",75219,30,1983
"114988",0,"non_y_h",3169509,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3169509,0,0,1,1,"DALLAS",75217,30,1975
"115002",0,"non_y_h",3169642,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3169642,0,0,1,1,"DALLAS",75212,33,1983
"115052",0,"non_y_h",3169953,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3169953,0,0,1,1,"IRVING",75061,33,1982
"115154",0,"non_y_h",3170816,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3170816,0,0,1,1,"DALLAS",75217,30,1964
"115164",0,"non_y_h",3170881,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3170881,0,0,1,1,"DALLAS",75211,33,1968
"115194",0,"non_y_h",3171096,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3171096,0,0,1,1,"DALLAS",75224,33,1940
"115204",0,"non_y_h",3171142,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3171142,0,0,1,1,"DALLAS",75217,30,1977
"115205",0,"non_y_h",3171149,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3171149,0,0,1,1,"IRVING",75061,33,1961
"115295",0,"non_y_non_h",3171856,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3171856,0,1,0,1,"DALLAS",75208,33,1964
"115298",0,"non_y_non_h",3171860,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3171860,0,1,0,1,"SACHSE",75048,32,1976
"115384",0,"non_y_h",3172535,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3172535,0,0,1,1,"GRAND PRAIRIE",75051,33,1983
"115385",0,"non_y_h",3172543,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3172543,0,0,1,1,"GARLAND",75041,5,1975
"115399",0,"non_y_h",3172700,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3172700,0,0,1,1,"GARLAND",75042,32,1963
"115406",0,"non_y_h",3172774,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3172774,0,0,1,1,"IRVING",75060,33,1961
"115425",0,"non_y_non_h",3172883,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3172883,0,1,0,1,"RICHARDSON",75082,32,1964
"115466",0,"non_y_h",3173264,"A",1,0,0,1,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3173264,0,0,1,1,"BALCH SPRINGS",75180,5,1978
"115491",0,"non_y_h",3173427,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3173427,0,0,1,1,"DALLAS",75224,33,1975
"115520",0,"non_y_non_h",3173579,"A",0,0,0,0,0,0,1,1,1,0,1,1,"Old Not Hispanic","Non_y_non_h_POST",3173579,0,1,0,1,"DALLAS",75243,32,1980
"115540",0,"non_y_h",3173707,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3173707,0,0,1,1,"DALLAS",75233,33,1964
"115559",0,"non_y_h",3173811,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3173811,0,0,1,1,"DALLAS",75236,30,1983
"115578",0,"non_y_h",3173933,"A",0,0,1,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3173933,0,0,1,1,"DESOTO",75115,30,1983
"115587",0,"non_y_non_h",3173989,"A",1,0,0,1,0,0,1,1,1,0,1,1,"Old Not Hispanic","Non_y_non_h_POST",3173989,0,1,0,1,"DALLAS",75215,30,1980
"115589",0,"non_y_h",3174011,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174011,0,0,1,1,"DALLAS",75235,33,1935
"115606",0,"non_y_non_h",3174177,"A",0,0,0,0,0,0,1,1,1,1,1,1,"Old Not Hispanic","Non_y_non_h_POST",3174177,0,1,0,1,"DALLAS",75227,30,1983
"115633",0,"non_y_h",3174315,"A",0,0,0,0,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3174315,0,0,1,1,"DALLAS",75216,30,1979
"115634",0,"non_y_h",3174326,"A",0,0,1,1,1,0,1,1,1,1,1,1,"Old Hispanic","Non_y_h_FLYER",3174326,0,0,1,1,"DALLAS",75223,32,1983
"115644",0,"non_y_h",3174397,"A",0,0,0,0,1,0,1,1,1,1,1,1,"Old Hispanic","Y_H_POST",3174397,0,1,0,1,"DALLAS",75220,33,1984
"115658",0,"non_y_h",3174477,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174477,0,0,1,1,"MESQUITE",75150,5,1930
"115676",0,"non_y_h",3174629,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174629,0,0,1,1,"GRAND PRAIRIE",75050,33,1976
"115678",0,"non_y_h",3174640,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174640,0,0,1,1,"GRAND PRAIRIE",75052,30,1967
"115693",0,"non_y_h",3174730,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174730,0,0,1,1,"DALLAS",75236,33,1973
"115715",0,"non_y_h",3174925,"A",0,0,0,0,1,0,1,1,1,0,0,1,"Old Hispanic","Non_y_h_FLYER",3174925,0,0,1,1,"GRAND PRAIRIE",75052,30,1978
"115716",0,"non_y_h",3174926,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_FLYER",3174926,0,0,1,1,"IRVING",75061,33,1973
"115730",0,"non_y_non_h",3175029,"A",0,0,0,0,0,0,1,1,1,1,1,1,"Old Not Hispanic","Y_non_h_POST",3175029,0,1,0,1,"GRAND PRAIRIE",75052,30,1984
"115740",0,"non_y_h",3175090,"A",0,0,0,0,1,0,1,1,1,0,1,1,"Old Hispanic","Non_y_h_FLYER",3175090,0,0,1,1,"GRAND PRAIRIE",75052,30,1981
"115760",0,"non_y_non_h",3175217,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",3175217,0,1,0,1,"GRAND PRAIRIE",75052,30,1976
